appellationlibelle,codeNAF,competences,contact,dateActualisation,dateCreation,deplacementCode,deplacementLibelle,description,dureeTravailLibelle,dureeTravailLibelleConverti,entreprise,experienceExige,experienceLibelle,formations,id,intitule,lieuTravail,natureContrat,nombrePostes,offresManqueCandidats,origineOffre,qualificationCode,qualificationLibelle,romeCode,romeLibelle,salaire,secteurActivite,secteurActiviteLibelle,typeContrat,typeContratLibelle
Opérateur(trice) sur machine automatique prod mécanique,78.20Z,,"{'nom': 'LANSRY RH - Mme Anaïs LANSRY', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFQ', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFQ'}",2023-10-11T09:29:17.000Z,2023-10-11T09:29:15.000Z,,,"LANSRY RH Agence d'emploi généraliste
Le trait d'union entre la volonté d'épanouissement des candidats et le besoin de performance des entreprises.
Nous recherchons pour l'un de nos clients un Opérateur de production polyvalent machine simple H/F 
Vos missions :
-	Approvisionnement de machine en matériaux
-	Ramassage + conditionnement dans les cartons 
-	Approvisionnement des machines de production en bobines de papier
-	Contrôle de la qualité des produits
-	Nettoyages niveau 1 du lieu de travail (dans un second temps)

Votre profil :
-	Bon communiquant 
-	Capacité à lire et à suivre les instructions et lecture de plan
-	Connaissance des normes de sécurité en vigueur dans l'industrie

A Savoir : 
-	Salaire : Démarrage au SMIC mais ouvert à négocier le salaire selon les profils + Prime de transport + Prime d'habillage 
-	Formation garantie + évolution sur le poste 
-	Lieu :  Corbas
-	Horaires : 2*8 - 06h00 - 14h00 / 14h00 - 22h00 - Horaire en 3*8 à prévoir dans l'avenir 

Vous vous reconnaissez dans notre offre, n'hésitez plus et postulez pour débuter cette nouvelle aventure !","35H Travail posté (2x8, 3x8, 5x8, etc.)",Temps plein,"{'nom': 'LANSRY RH', 'description': 'LANSRY RH Agence d emploi généraliste\n\nLe trait d union entre la volonté d épanouissement des candidats et le besoin de performance des entreprises.\n\nLansry RH 48 rue Molière 69006 Lyon', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/QCWHueYVoI3SCKKW1hLWspaY9z4kiLED.png', 'url': 'https://lansry-rh.fr/', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BRFQ,OPERATEUR DE PRODUCTION MACHINE SIMPLE  H/F (H/F),69 - CORBAS,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFQ'}",5,Employé non qualifié,H2906,Conduite d'installation automatisée ou robotisée de fabrication mécanique,"Horaire de 11,52 Euros",78,Activités des agences de travail temporaire,CDI,Contrat à durée indéterminée
Responsable adjoint(e) de magasin de grande distribution,70.10Z,"Règles d'hygiène et de sécurité, Superviser la gestion d'une entité commerciale, Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE), Animer, coordonner une équipe",{},2023-10-11T09:29:15.000Z,2023-10-11T09:29:12.000Z,,,"Dans le cadre de l'ouverture d'un nouveau magasin NORMA à UCKANGE dans les mois à venir, nous recrutons un Responsable de magasin adjoint H/F

VOS MISSIONS :

Rattaché(e) au Responsable de magasin, vous êtes garant de la bonne application du concept commercial et de la satisfaction clientèle. 
Vous êtes un soutien dans la gestion administrative du magasin (planning, caisse, inventaire) et du management de l'équipe.

En binôme avec le responsable magasin, vos missions consistent à :
-	Fédérer et transmettre les bonnes pratiques afin de faire monter en compétences votre équipe
-	Gérer les prix de vente en fonction des directives définies par la Direction.
-	Participer à la gestion optimale des produits : gestion du stock et des commandes, contrôle des DLC, etc.
-	Veiller au bon respect de l'implantation des marchandises, et participer à la mise en rayon.
-	Assurer la bonne gestion des flux monétiques.
-	Participer à la gestion administrative.
-	Préparer les inventaires.
-	Assurer une qualité d'accueil irréprochable en veillant à la bonne tenue de l'ensemble du magasin (intérieur et extérieur).


VOTRE PROFIL :

Vous disposez idéalement d'un BAC+2 et d'une première expérience significative dans le domaine du commerce ou de la restauration.
Manager de proximité, vous êtes un(e) bon(ne) gestionnaire et avez l'âme de commerçant.
Votre polyvalence est votre force et vous permet de gérer les priorités.",36H45 Travail en journée,Temps plein,"{'nom': 'NORMA SARL', 'entrepriseAdaptee': False}",E,2 ans,Bac+2 ou équivalents,163BRFP,Responsable adjoint(e) de magasin de grande distribution    (H/F),57 - UCKANGE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFP'}",8,Agent de maîtrise,D1504,Direction de magasin de grande distribution,,70,Activités des sièges sociaux,CDI,Contrat à durée indéterminée
Technicien / Technicienne de help desk en informatique,78.20Z,"Informatique, Règles de sécurité Informatique et Télécoms, Logiciels de gestion d'appels téléphoniques, Changer ou réparer une pièce ou un ensemble défectueux, Diagnostiquer à distance un dysfonctionnement informatique matériel ou logiciel, Configurer le poste de travail aux besoins de l'utilisateur, Dépanner des équipements informatiques, Analyser, résoudre un problème courant ou complexe, Apporter une assistance technique, Transmettre de l'information","{'nom': '* MANPOWER TERTIAIRE - M. GRENOBLE MANPOWER', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFN', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFN'}",2023-10-11T09:47:53.000Z,2023-10-11T09:29:11.000Z,,,"En tant que Technicien Service Desk, vous serez responsable de :
Dépanner les incidents liés à l'environnement informatique des entreprises dont le client est prestataire, notamment les ordinateurs portables sous Windows 10, les smartphones Android, la téléphonie sur IP, les solutions Wi-Fi, et les plateformes de communication telles qu'Office 365 (Teams, Outlook, SharePoint).

Répondre aux demandes d'assistance des utilisateurs en fournissant des solutions efficaces et en garantissant leur satisfaction.

Offrir une première assistance à l'utilisation pour aider les employés à tirer le meilleur parti de leur environnement de travail numérique.",37H Travail en journée,Temps plein,"{'nom': '* MANPOWER TERTIAIRE', 'description': ""Manpower France est une marque de ManpowerGroup France. \nElle est spécialisée dans les secteurs de l'intérim et du recrutement, présente dans 82 pays, avec 4400 agences et 30000 collaborateurs permanents. \n94 600 intérimaires en poste chaque jour\n80 000 entreprises clientes\n16 000 recrutement en CDI/CDD par an\n\nManpower répond aux besoins de flexibilité et de recrutement permanent des entreprises, tout en développant les compétences et les parcours professionnels des individus."", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/4qEy6jbSYaU9dFuEDSrawso16r11ijtO.png', 'url': 'https://www.manpower.fr', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BRFN,Technicien / Technicienne de help desk en informatique,38 - ST MARTIN LE VINOUX,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFN'}",6,Employé qualifié,I1401,Maintenance informatique et bureautique,"Horaire de 11,87 Euros",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 2 Mois
Carrossier-peintre / Carrossière-peintre,78.20Z,,"{'nom': 'GEZIM INTERIM - Mme FISCHER CELINE', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFM', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFM'}",2023-10-11T09:29:13.000Z,2023-10-11T09:29:11.000Z,1,Jamais,"Le réseau GEZIM situé en Alsace, Lorraine, Allemagne et Luxembourg accompagne depuis 50 ans, plus de 2000 personnes au quotidien, réparties dans près de 1000 entreprises.Nos 25 agences sont à vos côtés pour vous trouver le poste qu'il vous faut.

Notre objectif est de recruter les meilleurs professionnels avec toujours le même souci d'excellence, les mêmes valeurs d'innovation, d'écoute et de respect.

Venez nous rejoindre !

Nous recherchons pour l'un de nos clients un Peintre industriel (H/F)

Entreprise spécialisée dans la fabrication de machines agricoles

Nature du contrat : intérim

Lieu de la mission : Marmoutier

Vos missions seront les suivantes :

Appliquer la peinture (liquide) en cabine à l'aide d'un pistolet dans le respect de la cadence et des normes de qualité

Travail en hauteur

Profil souhaité : CAP Carrossier ou expérience exigée

Horaires :  3X8 (selon activité)

Salaire attractif + prime d'équipe + déplacement

Vous vous reconnaissez ?! Alors n'attendez plus et postulez!","35H Travail posté (2x8, 3x8, 5x8, etc.)",Temps plein,"{'nom': 'GEZIM INTERIM', 'entrepriseAdaptee': False}",E,12 mois,,163BRFM,PEINTRE INDUSTRIEL F/H (H/F),67 - SAVERNE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFM'}",3,"Ouvrier qualifié (P1,P2)",I1606,Réparation de carrosserie,"Horaire de 12,50 Euros à 13,50 Euros",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 3 Mois
Pâtissier / Pâtissière,10.71C,"Caractéristiques des farines levure, additifs, Doser des ingrédients culinaires, Effectuer le montage et la décoration des produits pâtissiers, Entretenir, nettoyer un espace, un lieu, un local","{'nom': 'Pôle Emploi Longjumeau', 'coordonnees1': '30 RUE MAURICE', 'coordonnees2': '91160 LONGJUMEAU', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFJ'}",2023-10-11T09:34:31.000Z,2023-10-11T09:29:07.000Z,,,"je recrute pâtissier/pâtissière  titulaire d'un CAP . ayant plusieurs années d'expérience.

Vous travaillez  dans une équipe de 4 personnes .organisé et rigoureux.

Avoir un moyen de transport serai un plus .",35H Travail en journée,Temps plein,"{'nom': 'PETITS PAINS ET COMPAGNIE', 'entrepriseAdaptee': False}",E,3 ans,,163BRFJ,Pâtissier / Pâtissière (H/F),91 - MORANGIS,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFJ'}",2,Ouvrier spécialisé,D1104,"Pâtisserie, confiserie, chocolaterie et glacerie",Mensuel de 2000 Euros à 2200 Euros sur 12 mois,10,Boulangerie et boulangerie-pâtisserie,CDI,Contrat à durée indéterminée
Chef de cuisine,56.29A,"Chaîne du froid, Régimes alimentaires, Procédures de la marche en avant, Logiciel de gestion de stocks, Système Hazard Analysis Critical Control Point (HACCP), Contrôler l'état des stocks, Dresser des plats pour le service, Superviser la préparation des aliments, Définir des besoins en approvisionnement, Lutter contre le gaspillage alimentaire, Transmettre une technique, un savoir-faire, Évaluer la mise en oeuvre d'un projet, plan d'action, Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE), Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE), Expliquer et faire respecter les règles et procédures , Organiser et planifier une activité","{'nom': 'RESTALLIANCE - Mme Alexandra STEFANI', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFH', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFH'}",2023-10-11T09:41:17.000Z,2023-10-11T09:29:02.000Z,,,"Nous recrutons un Chef de Cuisine H/F sur un établissement situé à Auxerre en CDI temps complet. 

Au quotidien:

Être Chef de Cuisine chez Restalliance, c'est avant tout animer une équipe et participer à la réalisation d'une prestation culinaire de qualité pour le plaisir des résidents, des patients et la satisfaction de notre client en établissement de santé.

Vous pilotez l'activité de votre cuisine accompagné ou rattaché au Directeur de site et offrez à vos 750 convives une cuisine faite maison avec des produits locaux, frais et de saison.

Vous êtes responsable de :

Animer votre équipe (plannings, partage de votre savoir-faire, recrutement et intégration)
Garantir la qualité gustative et visuelle de la prestation
Réaliser les commandes auprès de nos fournisseurs et producteurs locaux
Respecter le budget des coûts matières
Participer à la vie de l'établissement de santé
Faire de l'hygiène et de la sécurité en cuisine une priorité

Vous êtes :

Formé dans le secteur de la restauration, vous avez une expérience réussie à un poste équivalent ou de Second.
Vous maîtrisez les techniques culinaires, les normes HACCP et l'outil informatique.
La passion du métier et votre force d'initiative guident vos actions au quotidien.

Nous vous proposons :

CDI temps plein basé à Auxerre
Rythme de travail pour un équilibre personnel et professionnel : 6h30-14h15 + un week-end sur deux de repos + 16 RTT
Perspectives d'évolutions à des postes d'encadrement régional

Primes mensuelles, 13ème mois, CSE

Avantage en nature repas, participation aux frais de transport, mutuelle.
 
Restalliance, entreprise inclusive, ouvre tous ses postes aux personnes en situation de handicap. 

Pour en savoir davantage sur Restalliance : https://www.restalliance.fr/",37H25 Travail en journée,Temps plein,"{'nom': 'RESTALLIANCE', 'url': 'https://www.restalliance.fr/', 'entrepriseAdaptee': False}",E,2 ans,Bac ou équivalent,163BRFH,Chef de cuisine Auxerre (H/F),89 - AUXERRE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFH'}",6,Employé qualifié,G1601,Management du personnel de cuisine,"Mensuel de 2300,00 Euros à 2400,00 Euros sur 12 mois",56,Restauration collective sous contrat,CDI,Contrat à durée indéterminée
Employé / Employée de rayon,47.11F,"Réaliser l'étiquetage de produits, Contrôler l'état des stocks, Contrôler le balisage et l'étiquetage des produits en rayon, Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison","{'nom': 'Pôle Emploi Taverny', 'coordonnees1': '47 RUE DE MONTMORENCY', 'coordonnees2': '95150 TAVERNY', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFG'}",2023-10-11T09:29:00.000Z,2023-10-11T09:29:00.000Z,1,Jamais,"AUCHAN Taverny recherche des employés libre-service (H/F) motivés, volontaires avec ou sans expérience, afin de préparer un contrat de professionnalisation : ""CQP équipier magasin option drive et caisse"" d'une durée de 9 mois.

MISSIONS :

En rayon :
- Remplir les rayons.
- S'assurer de la bonne tenue marchande du rayon et de la propreté des réserves.

PROFIL /ENVIRONNEMENT DE TRAVAIL

- Sens du service et de la satisfaction clients
- Esprit d'équipe
- Rigoureux et dynamique
- Port de charges
- Horaires sur 6 jours répartis du lundi au dimanche avec une prise de poste parfois très matinale (6h)",35H Travail en horaires fractionnés,Temps plein,"{'nom': 'AUCHAN FRANCE', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BRFG,Employé de rayon - Contrat de professionnalisation,95 - TAVERNY,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRFG'}",5,Employé non qualifié,D1507,Mise en rayon libre-service,,47,Hypermarchés,CDD,Contrat à durée déterminée - 9 Mois
Responsable de pôle ou d'unité d'action sociale,88.99B,"Utiliser les outils bureautiques, Animer, coordonner une équipe, Développer et gérer des relations interpersonnelles, Préparer et animer une réunion, un groupe de travail, un atelier, Piloter une activité, adaptabilité, autonomie, organisation, travail en équipe",{},2023-10-11T09:28:53.000Z,2023-10-11T09:28:52.000Z,2,Ponctuels Zone régionale,"En tant que responsable du pôle « insertion socioprofessionnelle », vous assurerez le bon développement de votre périmètre d'activité, impliquant la responsabilité de l'animer stratégiquement et opérationnellement. Ainsi, vous managerez votre équipe de psychologue afin de répondre du mieux possible aux besoins psychosociaux des personnes en parcours d'insertion socioprofessionnelle.

Qui sommes-nous ?
Prisme est une association lilloise qui défend une société où chacun est en capacité de répondre à ses besoins psychosociaux (gestion du stress, confiance en soi, affirmation de soi), pour bien vivre sa vie personnelle, sociale et professionnelle.
Nous promouvons le renforcement des compétences psychosociales dans différents champs d'action (insertion socioprofessionnelle, action sociale, justice, éducation et médico-social) via la mise en place de : 
- Programme de renforcement des compétences psychosociales à destination des publics accompagnés au sein de ces champs
- Formation à destination des professionnel.le.s 
- Conseil visant l'accompagnement des acteurs de ces champs sur les compétences psychosociales
L'association Prisme est composée de 20 salarié.e.s, regroupant des psychologues et une équipe de développement.

Vos prochaines missions ?
-	Développement de l'association : 
- Au sein de l'équipe de coordination et en accord avec le conseil d'administration de l'association, vous participerez à l'élaboration de la stratégie et vous assurerez sa bonne mise en œuvre sur le terrain 
- Avec votre équipe, vous gèrerez le potentiel de développement de votre périmètre d'activité en cohérence avec le positionnement de l'association

-	Pilotage du pôle : 
- Vous assurerez le pilotage du pôle insertion socioprofessionnelle en lien avec les priorités de développement de l'association
- Vous vous assurerez de donner une vision à votre équipe, tout en leur donnant les moyens et l'autonomie pour atteindre les objectifs 
- Vous mettrez en œuvre et vous suivrez des projets structurants et innovants.

-	Management des ressources humaines
- Vous placerez l'accompagnement de l'équipe au cœur de votre fonction 
- Vous managerez les membres de votre équipe en définissant des attentes et objectifs clairs, avec des suivis réguliers
- Vous veillerez au développement de votre équipe et de chacun de ses membres, en identifiant vos besoins de compétences et en anticipant l'avenir
- Vous serez à l'écoute de votre équipe pour garantir leur QVCT et la qualité des actions réalisées.

-	Gestion de la qualité
- Vous veillerez au respect à la conformité des processus établis au sein de l'association, gage de qualité des actions et des pratiques définies.

Ce que vous retirerez de cette expérience ? Le plaisir d'accompagner et de soutenir vos collègues dans leurs missions, ainsi que la satisfaction de participer au développement d'un projet collectif à fort impact social.

Votre profil :
- Vous avez une formation en développement social/gestion  et/ou une expérience significative sur ce type de poste. 
- Vous faites preuve d'autonomie, d'organisation et d'adaptabilité face aux évènements
- Vous disposez d'une aisance relationnelle et aimez le travail en équipe
- Vous savez prendre de la hauteur pour anticiper et préparer l'avenir
- Vous possédez de fortes qualités d'écoute et d'empathie, et vous savez vous montrer disponible pour vos collègues.

Nos avantages :
- Des tickets restaurant et une prime de mobilité durable 
- Une confiance dans l'organisation du temps de travail, et une flexibilité sur vos horaires journaliers
- Forfait jours octroyant 15 jours de repos en JRTT, ainsi qu'une semaine de repos pour la fermeture annuelle aux vacances de Noël (qui s'ajoute en plus des 5 semaines de CP réglementaires)
- Une supervision externe pour prendre du recul et développer ses pratiques professionnelles",35H Travail en journée,Temps plein,"{'nom': 'ASSOCIATION PRISME', 'entrepriseAdaptee': False}",D,Débutant accepté,"Bac+3, Bac+4 ou équivalents, Bac+2 ou équivalents",163BRDZ,Responsable du pôle « insertion socioprofessionnelle » (H/F),59 - LILLE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRDZ'}",6,Employé qualifié,K1403,"Management de structure de santé, sociale ou pénitentiaire","Annuel de 32000,00 Euros à 36000,00 Euros sur 12 mois",88,Action sociale sans hébergement n.c.a.,CDI,Contrat à durée indéterminée
Magasinier / Magasinière cariste,78.20Z,"Réaliser le prélèvement de produits selon les instructions de préparation de commande et constituer les colis, lots, ..., Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison, Charger, décharger, manutentionner des produits","{'nom': 'CAMO - Mme Léa SPECHT-BOUJO', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRDY', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRDY'}",2023-10-11T09:56:15.000Z,2023-10-11T09:28:47.000Z,1,Jamais,"Notre agence Camo Emploi de Eckbolsheim recrute pour son client, spécialisé dans le commerce de gros, un CARISTE / MAGASINIER H/F afin de renforcer ses équipes.

Dans le cadre de cette mission, vous assurez :

Le service de nos clients, en assurant la réception, le stockage, la préparation et le chargement des marchandises sur notre plateforme.
Le déchargement, le contrôle, la réception et le rangement des marchandises en provenance des fournisseurs
La veille au bon état et à la bonne identification des produits
Le déplacement des produits pour les rendre disponibles aux emplacements dédiés
La préparation des commandes, en fonction de différentes méthodes
Le chargement des véhicules ou la mise à disposition des commandes à l'enlèvement
La tenue du matériel et du site : le rangement /nettoyage de son environnement de travail et l'entretien du matériel 
Le respect des règles de sécurité

Afin de répondre aux attentes de ce poste, vous justifiez d'une expérience réussie et significative sur des fonctions similaires. 

Titulaire de votre CACES 1-3-5 à jour et en cours de validité, vous maîtrisez les travaux de manutention ainsi que le port de charges et la conduite de chariot. Les CACES 4 ou PEMP sont des plus.

Habile manuellement, vous connaissez et respectez les règles de sécurité et êtes une personne organisée, ordonnée et précise dans ses gestes.

La mission requiert le port de charges.","38H Travail posté (2x8, 3x8, 5x8, etc.)",Temps plein,"{'nom': 'CAMO', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/GPtq7WkW9zQsYDPAdzqieAEqyCeyxPvW.png', 'url': 'https://camo-emploi.fr/', 'entrepriseAdaptee': False}",E,2 ans,,163BRDY,Magasinier / Magasinière cariste   (H/F),67 - REICHSTETT,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRDY'}",5,Employé non qualifié,N1103,Magasinage et préparation de commandes,"Horaire de 11,62 Euros à 11,63 Euros sur 12 mois",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 8 Mois
Aide peintre,94.99Z,"Préparer la peinture, Préparer un support, une matière, Peindre des surfaces et supports visuels, Monter ou démonter un échafaudage","{'nom': 'Pôle Emploi AUBUSSON', 'coordonnees1': 'MEFAA LA PASSERELLE ESPLANADE CHARLES DE GAULLE\nCS 30077', 'coordonnees2': '23200 AUBUSSON', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BRDX'}",2023-10-11T09:28:47.000Z,2023-10-11T09:28:47.000Z,,,"Vous êtes intéressé(e) par le métier de peintre en bâtiment et êtes motivé(e) pour apprendre / exercer ce métier ?
OU Vous avez éventuellement une première expérience et/ou un diplôme (même partiel) dans le domaine ?

Le Pôle Bâtiment peut vous permettre d'acquérir une première expérience, de renforcer vos compétences, et d'obtenir un diplôme, tout en étant salarié-e.

Le Pôle Bâtiment vous propose un CDD d'insertion en tant que peintre en bâtiment. 

Vous travaillerez 32h par semaine du lundi au vendredi (08h-17h) et effectuerez les activités suivantes :
-Travaux de préparation et d'apprêt
-Mise en peinture de différents supports (intérieur / extérieur)
-Pose de revêtements muraux
-Pose de revêtements de sol
Vous pourrez également être amené-e à effectuer des travaux de carrelage et/ou de plâtrerie.

Pendant votre contrat, vous suivrez un programme de formation spécifiquement construit pour vous et tenant compte des compétences dont vous disposez déjà. Cette formation sera réalisée au LMB Felletin ; soit sur 1 à 2 jours par semaine, soit ponctuellement dans l'année.

Vous pourrez ainsi faire valoir vos compétences et obtenir un CAP peintre applicateur de revêtement pendant votre contrat au Pôle Bâtiment.
L'objectif d'un chantier d'insertion est de favoriser l'accès / le retour à l'emploi durable, quel que soit le métier exercé auparavant ou envisagé par le salarié. Aucune compétence spécifique n'est donc requise pour le poste.

Le CDD d'insertion engage le salarié à réaliser les activités décrites ci-dessus et à s'investir dans une démarche d'insertion socioprofessionnelle (à construire avec l'accompagnatrice socioprofessionnelle).
Vous devez être éligible à l'Insertion par l'Activité Economique",32H Travail en journée,Temps partiel,"{'nom': 'RESEAU CREUSOIS DES SIAE', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BRDX,Aide peintre,23 - GUERET,Insertion par l'activ.éco.,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRDX'}",1,Manœuvre,F1606,Peinture en bâtiment,"Horaire de 11,52 Euros sur 12 mois",94,Autres organisations fonctionnant par adhésion volontaire,DDI,Contrat durée déterminée insertion - 6 Mois
Vendeur / Vendeuse en boulangerie-pâtisserie,10.71C,"Techniques de vente, Procédures d'encaissement, Modes de cuisson des aliments, Types de pain, Règles de tenue de caisse, Compositions de salades, Types de produits boulangers, Types de pâtisserie, Types de sandwichs, Réaliser la mise en rayon, Entretenir un équipement, une machine, une installation, Entretenir, nettoyer un espace, un lieu, un local, Vendre ou louer des produits ou des services, Présenter et valoriser un produit ou un service, Organiser, aménager un espace de vente",{},2023-10-11T09:35:49.000Z,2023-10-11T09:28:45.000Z,,,"Le poste chez l'atelier Banette :
- Pas de coupure
- 2 jours de repos consécutifs
- Heures du dimanche majorées
- Jours fériés payés double

 Les + de l'atelier Banette :
- Remises pour les achats en boulangerie
- Primes mensuelles
- 1/2 treizième mois
- Mutuelle AG2R

Voici vos principales missions :
- Achalander le magasin
- Assurer la vente
- Proposer le meilleur service aux clients (les servir, les conseillers et les fidéliser)
- Encaisser les clients et effectuer les ouvertures et les fermetures des caisses
- Participer au développement du chiffre d'affaire de la boulangerie
- Participer à la préparation des produits vendus au snack (conception de sandwiches, salades, Wraps ...)

Type d'emploi : Temps plein, CDI",35H Travail en journée,Temps plein,"{'nom': 'BEST OF BREAD MONTPELLIER', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BRDW,Vendeur / Vendeuse en boulangerie-pâtisserie       (H/F),34 - MAUGUIO,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRDW'}",5,Employé non qualifié,D1106,Vente en alimentation,"Mensuel de 1747,24 Euros à 1800,00 Euros sur 12 mois",10,Boulangerie et boulangerie-pâtisserie,CDI,Contrat à durée indéterminée
Peseur laitier / Peseuse laitière,94.11Z,"Normes environnementales, Utilisation d'outils de pesage/dosage (balance, verre doseur, ...), Prélever des échantillons de matières ou de produits, Relever, contrôler, ajuster des mesures et dosages",{},2023-10-11T09:31:55.000Z,2023-10-11T09:28:42.000Z,4,Quotidiens Zone départementale,"La chambre d'agriculture de Lot-et-Garonne recrute son agent(e) technique de pesée.
Vous travaillerez sous la responsabilité directe des contrôleurs laitiers.

Les Missions :
	- Vérifier l'identité des animaux (vaches),
	- Prélèvement des échantillons de lait lors des traites en élevage de bovin lait,
	- Mesurer la production de lait de chaque vache à l'aide d'appareils de mesure tru-test fourni par la Chambre d'Agriculture,
	- Relever les données de performance individuelle des animaux (quantité de  lait) et recueil des poids de lait,
	- Préparer et expédier les échantillons de lait qui seront transférés au laboratoire pour analyse,
	- Laver et ranger les appareils de mesure tru-test dont il a la charge
       - Le candidat suivra une formation en interne
       - Les horaires de travail sont ceux de 2 traites quotidiennes (matin et soir), 5 jours par semaine
       -  Encadré par un contrôleur laitier qui organise et vérifie ses activités",35H Travail en horaires fractionnés,Temps plein,"{'nom': 'CHAMBRE DEP AGRICULTURE DU LOT   GARONN', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BRDV,Agent(e) technique de pesée,47 - AGEN,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BRDV'}",2,Ouvrier spécialisé,A1302,Contrôle et diagnostic technique en agriculture,Mensuel de 1748 Euros à 2102 Euros sur 12 mois,94,Activités des organisations patronales et consulaires,CDI,Contrat à durée indéterminée
