id;intitule;description;dateCreation;dateActualisation;lieuTravail;romeCode;romeLibelle;appellationlibelle;entreprise;typeContrat;typeContratLibelle;natureContrat;experienceExige;experienceLibelle;salaire;dureeTravailLibelle;dureeTravailLibelleConverti;alternance;contact;agence;nombrePostes;accessibleTH;qualificationCode;qualificationLibelle;codeNAF;secteurActivite;secteurActiviteLibelle;qualitesProfessionnelles;origineOffre;competences;deplacementCode;deplacementLibelle;offresManqueCandidats;formations;permis;complementExercice;experienceCommentaire;langues;conditionExercice
163JGNQ;Ajusteur monteur aéronautique F/H (H/F);"Notre client est leader sur les systèmes d'emport et d'éjection destinés aux avions de combat, d'entrainement, patrouilleurs maritimes, hélicoptères et drones.En tant qu'ajusteur-monteur (H/F) sur le site de Valenton (94), vous réalisez des opérations de montage de sous-ensembles et ensemble de structures aéronautiques. 
Vous êtes un spécialiste de l'assemblage mécanique.

Au sein de l'équipe de Production ou de Réparation, vous avez en charge l'assemblage et la maintenance de nombreux équipements aéronautiques équipés de sous-ensembles électriques et carburant.

Vos principales missions :
- Vous suivez et respectez les instructions techniques (Production, Qualité, Sécurité, Gammes,
Environnement, Instruction de Montage, Plans...).
- Vous effectuez l'inventaire des éléments avant l'assemblage.
- Vous repérez les éléments qui composent l'ensemble du montage et leur mode de fixation
- Vous réalisez les opérations de pose des fixations
- Vous positionnez et assemblez des éléments structurels entre eux
- Vous détectez toute non-conformité aux données techniques
- Vous assurez la mise au point technique de l'ensemble monté
- Vous réalisez la métallisation, assurez l'étanchéité et l'anticorrosion et les retouches peinture des pièces,
- Vous renseignez les données de traçabilité
- Vous entretenez votre poste de travail
- Vous respectez les règles QHSE

Contrat : CDI
Salaire : 32kEUR
Participation au bénéfices
Restaurant d'entreprise
13ème mois. Votre profil :
- CAP / BEP Mécanique Générale, Monteur cellule d'aéronef, CQPM Monteur cellule d'aéronef ou équivalent.
- Vous êtes nouvellement diplômé ou avez une expérience d'au moins 1 an sur le même type de poste
- Anglais lu et écrit
- Rigoureux, organisé, minutieux";2023-10-16 14:18:16;2023-10-16 14:18:18;{'libelle': '94 - VALENTON', 'latitude': 48.749321, 'longitude': 2.459159, 'codePostal': '94460', 'commune': '94074'};H2901;Ajustement et montage de fabrication;Ajusteur-monteur / Ajusteuse-monteuse de cellules aéronefs;{'nom': 'SYNERGIE', 'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;5 ans;{'libelle': 'Annuel de 30000,00 Euros à 35000,00 Euros sur 12 mois'};35H Travail en journée;Temps plein;False;{'coordonnees1': 'http://app.mytalentplug.com/redirection.aspx?ojid=PbJigkh6YWn+a+b9iMYhMQ==', 'urlPostulation': 'http://app.mytalentplug.com/redirection.aspx?ojid=PbJigkh6YWn+a+b9iMYhMQ=='};;1;False;2;Ouvrier spécialisé;78.20Z;78;Activités des agences de travail temporaire;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGNQ'};"[{'code': '105933', 'libelle': ""Identifier les phases d'ajustage et de montage d'éléments, systèmes, ensembles mécaniques à partir du dossier technique ou du modèle"", 'exigence': 'S'}, {'code': '105935', 'libelle': 'Dimensionner et mettre en forme les pièces, éléments mécaniques par usinage, formage, ... et vérifier leur conformité', 'exigence': 'S'}, {'code': '105936', 'libelle': 'Réaliser les ajustements et les finitions et assembler les éléments et les sous-ensembles mécaniques', 'exigence': 'S'}, {'code': '105937', 'libelle': 'Effectuer le métrage et la mise au point de systèmes, équipements mécaniques et outils de production (moule, outillage...)', 'exigence': 'S'}, {'code': '300140', 'libelle': 'Adapter, ajuster un article ou une production en fonction du besoin', 'exigence': 'S'}]";;;False;;;;;;
163JGNN;Ergothérapeute (H/F);"L'EHPAD public La Roselière à Vendres (34) est situé à 10 km de Béziers et 22km de Narbonne, recrute un Ergothérapeute (H/F) pour un CDD de 6 mois renouvelable.
Planning modulable.

*** Diplôme d'Ergothérapeute exigé ***";2023-10-16 14:18:13;2023-10-16 14:19:31;{'libelle': '34 - VENDRES', 'latitude': 43.265032, 'longitude': 3.240792, 'codePostal': '34350', 'commune': '34329'};J1403;Ergothérapie;Ergothérapeute;{'nom': 'EHPAD LA ROSELIERE', 'entrepriseAdaptee': False};CDD;Contrat à durée déterminée - 6 Mois;Contrat travail;True;Débutant accepté;{'libelle': 'Horaire de 12,47 Euros', 'commentaire': 'rp anc.+grille FPT+prime', 'complement1': 'Autre'};17H30 Travail en horaires fractionnés;Temps partiel;False;{'nom': 'EHPAD LA ROSELIERE - Mme Emilie BAPTISTE', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JGNN', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JGNN'};;1;False;7;Technicien;87.30A;87;Hébergement social pour personnes âgées;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGNN'};"[{'code': '107473', 'libelle': ""Réaliser le bilan des capacités physiques, cognitives et évaluer le degré d'autonomie de la personne dans son environnement domestique ou professionnel"", 'exigence': 'S'}, {'code': '107474', 'libelle': 'Concevoir un projet thérapeutique', 'exigence': 'S'}, {'code': '107475', 'libelle': ""Concevoir le programme de rééducation (réadaptation aux gestes de la vie quotidienne, réapprentissage de repères spatiaux) et l'adapter selon l'état de la personne"", 'exigence': 'S'}, {'code': '107476', 'libelle': 'Informer et conseiller la personne sur des aménagements, des équipements ou des appareillages', 'exigence': 'S'}]";;;False;"[{'codeFormation': '43491', 'domaineLibelle': 'ergothérapie', 'niveauLibelle': 'Bac+3, Bac+4 ou équivalents', 'commentaire': ""Diplôme d'Etat d'Ergothérapie"", 'exigence': 'E'}]";;planning modulable;;;
163JGNL;Conseiller / Conseillère beauté;"Nous recherchons pour notre magasin sur Aubagne un(e) Conseiller / conseillère Beauté qui participera à la réalisation des objectifs de vente (produits et services) magasin en assurant la relation client (accueil, prise en charge, conseil, encaissement, fidélisation) et la vente selon les directives des Adjointes et/ou du Directeur dans le respect de l'image et les valeurs Nocibé

Principales missions: 

-Vente et conseils clients
-Encaissement
-Approvisionnement du magasin
-Tenue du magasin

Poste à pourvoir en CDD du 10/11 au 31/12 

Formation:
CAP à BAC commerce.";2023-10-16 14:18:11;2023-10-16 14:35:29;{'libelle': '13 - AUBAGNE', 'latitude': 43.302497, 'longitude': 5.564344, 'codePostal': '13400', 'commune': '13005'};D1208;Soins esthétiques et corporels;Conseiller / Conseillère beauté;{'nom': 'NOCIBE', 'entrepriseAdaptee': False};CDD;Contrat à durée déterminée - 1 Mois;Contrat travail;True;6 mois;{'libelle': 'Horaire de 11,52 Euros'};35H Travail le week-end;Temps plein;False;{};;1;False;6;Employé qualifié;47.19B;47;Autres commerces de détail en magasin non spécialisé;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGNL'};[{'code': '102048', 'libelle': 'Concevoir des protocoles de soins esthétiques', 'exigence': 'S'}, {'code': '102050', 'libelle': 'Réaliser des soins du visage et du corps', 'exigence': 'S'}, {'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}, {'code': '300374', 'libelle': 'Présenter et valoriser un produit ou un service', 'exigence': 'S'}];;;False;[{'codeFormation': '34554', 'domaineLibelle': 'commerce', 'niveauLibelle': 'Bac ou équivalent', 'exigence': 'E'}, {'codeFormation': '34554', 'domaineLibelle': 'commerce', 'niveauLibelle': 'CAP, BEP et équivalents', 'exigence': 'E'}];;;;;
163JGNH;Responsable adjoint  (H/F);"Histoire d'Or est le leader sur le marché de la bijouterie avec plus de 350 magasins en France, en Italie et en Belgique. Rendre le bijou accessible au plus grand nombre est notre raison d'être. Nous recherchons des collaborateurs prêts à partager notre passion de la relation clientèle pour accompagner nos clients à travers toutes leurs belles Histoires (Histoire d'Amour, Histoire d'un Oui, Histoire d'une vie, Histoire de naissance).

Vous développez activement les ventes et êtes garant de la qualité de service pour fidéliser la clientèle
Vous êtes garant de la mise en œuvre de la politique commerciale de l'enseigne et secondez le Directeur du magasin
Véritable chef d'orchestre sur la surface de vente, vous êtes responsable du développement du chiffre d'affaires
Vous intégrez et formez les nouveaux talents, animez l'équipe, gérez les priorités et êtes garant de la bonne application de nos procédures...
Chez Histoire d'Or, au-delà de votre diplôme, c'est votre personnalité et votre vécu professionnel qui seront déterminants. Fort d'une expérience réussie d'au moins deux ans dans la vente et l'animation d'équipe (retail, hôtellerie, restauration, loisirs). Vous nous apportez votre énergie, votre enthousiasme et votre envie de découvrir un nouvel univers  nous nous chargeons du reste.

Après un parcours d'intégration de 2 mois, rythmé entre nos magasins écoles et de nombreuses formations au sein de notre université d'entreprise, l'univers de la bijouterie n'aura plus de secret pour vous. Vous pourrez pleinement vous épanouir avec vos équipes dans l'atteinte de vos objectifs.

On a tous une belle histoire à écrire. Venez écrire la vôtre dans l'une de nos bijouteries !";2023-10-16 14:18:05;2023-10-16 14:18:07;{'libelle': '31 - TOULOUSE', 'latitude': 43.604082, 'longitude': 1.433805, 'codePostal': '31000', 'commune': '31555'};M1701;Administration des ventes;Adjoint(e) au responsable de l'administration des ventes;{'nom': 'THOM', 'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;2 ans;{'libelle': 'Annuel de 23500,00 Euros à 26250,00 Euros sur 12 mois'};35H Travail en journée;Temps plein;False;{'coordonnees1': 'https://histoiredor.easycruit.com/vacancy/3246691/58608?source=polemploi', 'urlPostulation': 'https://histoiredor.easycruit.com/vacancy/3246691/58608?source=polemploi'};;1;False;8;Agent de maîtrise;66.30Z;66;Gestion de fonds;"[{'libelle': ""Être à l'écoute, faire preuve d'empathie"", 'description': ""Capacité à écouter activement, réceptionner des informations et messages, faire preuve d'ouverture d'esprit et de diplomatie.""}, {'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGNH'};[{'code': '101315', 'libelle': 'Analyse statistique', 'exigence': 'S'}, {'code': '101359', 'libelle': 'Droit commercial', 'exigence': 'S'}, {'code': '122632', 'libelle': 'Traitement des commandes', 'exigence': 'S'}, {'code': '122709', 'libelle': 'Établir un contrat de vente', 'exigence': 'S'}, {'code': '300325', 'libelle': 'Élaborer des procédures administratives ou comptables', 'exigence': 'S'}, {'code': '300449', 'libelle': 'Expliquer et faire respecter les règles et procédures\xa0', 'exigence': 'S'}];;;False;;;;;;
163JGNG;MANOEUVRE (H/F);"Votre agence LIP Intérim recherche pour l'un de ses clients un Man?uvre en bâtiment H/F

Vous serez en charge de :
- Démolition de mobilier
- Évacuation des matériaux
- Dégager et nettoyer la zone en fin de chantier
- Entretenir le matériel
                - Sérieux et Motivé
- Réactif
- Polyvalent
- Fort esprit d?équipe

Vous vous reconnaissez dans ce profil, alors à vos CV !";2023-10-16 14:18:00;2023-10-16 14:18:01;{'libelle': '71 - MONTCEAU LES MINES', 'latitude': 46.676942, 'longitude': 4.358337, 'codePostal': '71300', 'commune': '71306'};F1704;Préparation du gros oeuvre et des travaux publics;Démolisseur / Démolisseuse;{'nom': 'LIP CHALON', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/Zs7ALcFIj4hSdxWL2motK3g091cEohZr.png', 'entrepriseAdaptee': False};MIS;Mission intérimaire - 4 Jour(s);Contrat travail;True;Débutant accepté;{'libelle': 'Horaire de 11,52 Euros sur 12 mois'};35H Travail en journée;Temps plein;False;{'nom': 'LIP CHALON - M. Chalon LIP', 'coordonnees1': 'https://www.lipsafari.com/offres-emploi/poste-b11-a222-manoeuvre-1034-203693', 'urlPostulation': 'https://www.lipsafari.com/offres-emploi/poste-b11-a222-manoeuvre-1034-203693'};;1;False;1;Manœuvre;78.20Z;78;Activités des agences de travail temporaire;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGNG'};[{'code': '121977', 'libelle': 'Terrasser un terrain ou une construction', 'exigence': 'S'}, {'code': '300265', 'libelle': 'Charger, décharger, manutentionner des produits', 'exigence': 'S'}, {'code': '400288', 'libelle': 'Déblayer, remblayer un terrain', 'exigence': 'S'}];;;False;;;;;;
163JGNF;MONTEUR CHARPENTE METALLIQUE (H/F);"Pour le compte de l'un de nos clients, nous cherchons des monteurs en charpente métallique, intervention à Jalognes.

Vos principales tâches seront :

Pré assembler les pièces à lever à partir d'un plan de montage ou d'une consigne
Effectuer de la pose de couverture, bardage et accessoires de finition
Tracer les repères des points de fixation
Monter des charpentes métalliques et passerelles
Travailler en hauteur
Effectuer de la pose de bardage, Pose de serrurerie du bâtiment (garde-corps, rampes, escaliers...)
 Caces nacelle, travail en hauteur, port du harnais et seraient un plus.";2023-10-16 14:17:58;2023-10-16 14:17:59;{'libelle': '18 - JALOGNES', 'latitude': 47.234988, 'longitude': 2.791306, 'codePostal': '18300', 'commune': '18116'};F1502;Montage de structures métalliques;Monteur / Monteuse en constructions métalliques;{'nom': 'BPS INTERIM CDI CDD', 'entrepriseAdaptee': False};MIS;Mission intérimaire - 1 Mois;Contrat travail;True;1 an;{'libelle': 'Horaire de 11,52 Euros à 14,00 Euros sur 12 mois'};35H Travail en journée;Temps plein;False;{'coordonnees1': 'http://app.mytalentplug.com/description-offre.aspx?ojid=wDs/xGscY0cIAONDMd7/AA==', 'urlPostulation': 'http://app.mytalentplug.com/description-offre.aspx?ojid=wDs/xGscY0cIAONDMd7/AA=='};;1;False;3;Ouvrier qualifié (P1,P2);78.20Z;78;Activités des agences de travail temporaire;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGNF'};"[{'code': '121501', 'libelle': 'Assembler des éléments de structures métalliques', 'exigence': 'S'}, {'code': '122640', 'libelle': ""Fixer les éléments d'une structure métallique"", 'exigence': 'S'}, {'code': '123402', 'libelle': 'Installer des éléments de structures métalliques', 'exigence': 'S'}, {'code': '300265', 'libelle': 'Charger, décharger, manutentionner des produits', 'exigence': 'S'}]";;;False;;[{'libelle': 'B - Véhicule léger', 'exigence': 'S'}];;;;
163JGNB;Assistant administratif / Assistante administrative;"Votre rôle sera de seconder les responsables dans les tâches administratives de l'usine dans un souci constant de qualité, productivité et respect des objectifs définis.

Vos principales missions :
- Accueil téléphonique (production et logistique)
- Gérer le courrier et les messages électroniques de ses boites mails
- Rédiger et mettre en forme les documents nécessaires au fonctionnement de l'usine
- Gérer les expéditions, éditions des bons de livraison et des étiquettes
- Préparer les documents de production et logistique
- Traiter les anomalies de livraisons et réception
- Passer les commandes et suivre les matières récurrentes
- Actualiser les données de suivi d'activité de l'usine (tableaux de bord, indicateurs, ...)

Principales responsabilités :
-	Veiller au quotidien au suivi des données usine (tableaux de bord, indicateurs )
-	Traiter au quotidien avec l'Adjoint Supply Chain les tâches Administratives logistique
-	Assurer un reporting hebdomadaire auprès du responsable

Profil  et compétences attendus :
- Connaissance des outils informatiques bureautiques, l'utilisation et la bonne connaissance du tableur EXCEL est impératif (croisés dynamiques, formules, tri )
- Rigueur dans le suivi des données usine (tableaux de bord, indicateurs )
- Gestion du temps dans le timing de traitement des documents Logistiques
- Assurer un reporting hebdomadaire auprès du responsable
- Identifier les moyens nécessaires en fonction de la charge de travail
- Valider les données relatives aux opérations dans le système d'information";2023-10-16 14:17:50;2023-10-16 14:17:50;{'libelle': '45 - NOGENT SUR VERNISSON', 'latitude': 47.833056, 'longitude': 2.729434, 'codePostal': '45290', 'commune': '45229'};M1607;Secrétariat;Assistant administratif / Assistante administrative;{'nom': 'LE MATELAS 365', 'entrepriseAdaptee': False};CDD;Contrat à durée déterminée - 3 Mois;Contrat travail;True;1 an - sur les mêmes activités;"{'commentaire': ""A négocier avec l'employeur"", 'complement1': 'Autre'}";35H Travail en journée;Temps plein;False;{};;1;False;6;Employé qualifié;31.03Z;31;Fabrication de matelas;"[{'libelle': 'Faire preuve de réactivité', 'description': ""Capacité à réagir rapidement face à des évènements et à des imprévus, en hiérarchisant les actions, en fonction de leur degré d'urgence / d'importance.""}, {'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}, {'libelle': ""S'adapter aux changements"", 'description': ""Capacité à s'adapter à des situations variées, à réagir à l'imprévu, gérer l'incertitude pour s'ajuster à des organisations, des collectifs de travail, des habitudes, des valeurs propres à l'entreprise.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGNB'};[{'code': '120992', 'libelle': 'Gestion administrative du courrier', 'exigence': 'S'}, {'code': '120722', 'libelle': 'Planifier des rendez-vous', 'exigence': 'S'}, {'code': '121718', 'libelle': 'Classer des documents', 'exigence': 'S'}, {'code': '300431', 'libelle': 'Établir, mettre à jour un dossier, une base de données', 'exigence': 'S'}, {'libelle': 'Connaissances outils informatiques (pack office)', 'exigence': 'S'}];;;True;[{'codeFormation': '35007', 'domaineLibelle': 'secrétariat assistanat gestion PME PMI', 'niveauLibelle': 'Bac+2 ou équivalents', 'exigence': 'E'}];;;sur les mêmes activités;;
163JGMZ;Employé agricole H/F (H/F);"TU AIMES TRAVAILLER EN EXTERIEUR ? Au contact de la nature ?

Parfait ! Nous te proposons de récolter des fleurs pendant 3 jours !

Mission le lundi 23, mardi 24 et mercredi 25 octobre.
Horaires : 8h-12h et 13h-16h.

Tes missions ?
- récolte des fleurs selon directives précises
- diverses tâches de manutention

Tu n'as pas peur du travail manuel ?
Tu supportes le travail sous serre ?
Tu aimes le travail d'équipe ?

Plus aucun doute... ce poste est fait pour toi ! Valide ta candidature directement sur notre site internet !
 
A très vite dans ton agence TEMPORIS Gujan-Mestras !
Olivia, Julie et Delphine se feront un plaisir de te rencontrer... 

TEMPORIS Gujan-Mestras, c?est aussi : 

	- Une équipe agréable et réactive, 
	- + 21% d?indemnités de fin de mission et de congés payés 
	- Des acomptes chaque semaine, à la demande 
	- Des équipements de sécurité de qualité parce que la sécurité est notre priorité
Des aides mobilité, logement, garde d?enfants (?) , via le FASTT";2023-10-16 14:17:49;2023-10-16 14:19:58;{'libelle': '33 - LE BARP', 'latitude': 44.629381, 'longitude': -0.756127, 'codePostal': '33114', 'commune': '33029'};A1203;Aménagement et entretien des espaces verts;Ouvrier / Ouvrière paysagiste;{'nom': 'TEMPORIS', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/vR9C4l3maqX9SZVOXGwGaie5KXMwuSiW.png', 'entrepriseAdaptee': False};MIS;Mission intérimaire - 3 Jour(s);Contrat travail;True;Débutant accepté;{'commentaire': '11,67 ? brut', 'complement1': 'Primes', 'complement2': 'Autre'};35H Travail en journée;Temps plein;False;{'nom': 'TEMPORIS - X Gujan-Mestras Temporis', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JGMZ', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JGMZ'};;1;False;1;Manœuvre;78.20Z;78;Activités des agences de travail temporaire;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGMZ'};"[{'code': '122739', 'libelle': ""Techniques d'engazonnement"", 'exigence': 'S'}, {'code': '100063', 'libelle': 'Tailler les arbres', 'exigence': 'S'}, {'code': '122730', 'libelle': 'Préparer les sols, les plantations (épandage, semis, etc.)', 'exigence': 'S'}, {'code': '124561', 'libelle': 'Entretenir un élément de décoration', 'exigence': 'S'}]";;;False;;;;;;
163JGMY;Opérateur découpet jet d'eau (H/F) (H/F);"Claire et Dominique, chargées d'affaires spécialisée dans le secteur de l'industrie, recherchent pour leur client, un opérateur CN (H/F) expérimenté, pour travailler sur une machine de découpe jet d'eau.
Attention, le poste nécessite de la manutention de charges.

Vos tâches :
- Saisie des programmes
- Suivis qualité des pièces
- Enlèvement des pièces découpées
- Surveillance du bon déroulé
- Lecture de plan

Horaires en 2x8.
                De formation usineur, ou expérimenté en usinage CN, vous connaissez la lecture de plan et vous êtes autonome.
Profil dynamique, avec une force de proposition.";2023-10-16 14:17:48;2023-10-16 14:38:54;{'libelle': '63 - CLERMONT FERRAND', 'latitude': 45.786671, 'longitude': 3.107042, 'codePostal': '63000', 'commune': '63113'};H2903;Conduite d'équipement d'usinage;Opérateur régleur / Opératrice régleuse usinage;{'nom': 'LIP CLERMONT FERRAND INDUSTRIE', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/ejWbNL2eqn7eRhGei7TahNnXULwxnLQ1.png', 'entrepriseAdaptee': False};MIS;Mission intérimaire - 6 Mois;Contrat travail;True;Débutant accepté;{'libelle': 'Mensuel de 1747,2 Euros sur 12 mois'};35H Travail en journée;Temps plein;False;{'nom': 'LIP CLERMONT FERRAND INDUSTRIE - Mme Claire Malsert', 'coordonnees1': 'https://www.lipsafari.com/offres-emploi/poste-b11-a206-operateur-decoupet-jet-deau-h-f-203635', 'urlPostulation': 'https://www.lipsafari.com/offres-emploi/poste-b11-a206-operateur-decoupet-jet-deau-h-f-203635'};;1;False;2;Ouvrier spécialisé;78.20Z;78;Activités des agences de travail temporaire;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGMY'};"[{'code': '100822', 'libelle': ""Techniques d'usinage"", 'exigence': 'S'}, {'code': '300135', 'libelle': 'Monter et régler une installation, une machine', 'exigence': 'S'}, {'code': '300175', 'libelle': ""Piloter la gestion de la production, de l'exploitation"", 'exigence': 'S'}, {'code': '300185', 'libelle': 'Réaliser un diagnostic technique', 'exigence': 'S'}, {'code': '300256', 'libelle': ""Contrôler la qualité et la conformité d'un livrable"", 'exigence': 'S'}]";;;False;;;;;;
163JGMX;Médecin généraliste (H/F);"Hey ! Ça pourrait vous intéresser ! Vous avez un bon sens relationnel et avez l'esprit d'équipe   Vous avez frappé à la bonne porte !

Vitalis Médical Mulhouse, agence de recrutement spécialisée dans le secteur médical, paramédical et social, recrute un Médecin Généraliste pour travailler au sein d'une structure située dans le secteur d'Oderen.

Nous sommes une agence à taille humaine, à votre écoute et qui vous accompagne au quotidien.
Comme vous, nous avons choisi de placer l'humain au centre de nos pratiques professionnelles !
Notre équipe prend le temps de vous écouter, de comprendre votre parcours et votre projet professionnel, afin de mieux vous guider vers les opportunités qui vous correspondent.

Dès la 1ère heure (en intérim ou vacation ou CDD) vous bénéficiez de notre comité d'entreprise en ligne COULEUR CE et des avantages du FASTT.

Un soignant satisfait pour un patient satisfait, tel est notre objectif.


Rémunération négociable selon le profil.


Vos missions:
- Examiner attentivement chaque patient (prise de tension, palpations, prise de température, écoute des battements du coeur) pour établir un diagnostic le plus précis possible.
- Apporter les soins et prescrire les médicaments à même de traiter les maux mis en évidence.
- Fournir des services de santé aux patients dans le cadre de la médecine générale
- Gérer une équipe pluridisciplinaire impliquée dans les soins au patient
- Apporter des soins à un groupe de patients présentant des caractéristiques spécifiques Votre profil:
Si vous disposez d'un bon sens de l'organisation, d'une grande rigueur professionnelle et avez un bon esprit d'équipe, ce poste est fait pour vous !

Postulez directement à cette offre d'emploi ou contactez-nous au *** (voir postuler) pour en savoir plus ou envoyez votre CV à mulhouse[a]vitalis-medical.com


- Diplôme d'Etat de docteur en médecine";2023-10-16 14:17:46;2023-10-16 14:17:47;{'libelle': '68 - ODEREN', 'latitude': 47.910127, 'longitude': 6.966902, 'codePostal': '68830', 'commune': '68247'};J1102;Médecine généraliste et spécialisée;Médecin généraliste;{'nom': 'VITALIS MEDICAL', 'entrepriseAdaptee': False};MIS;Mission intérimaire - 2 Mois;Contrat travail;True;Débutant accepté;{'libelle': 'Horaire de 11,52 Euros à 11,52 Euros sur 12 mois'};35H Travail en journée;Temps plein;False;{'coordonnees1': 'http://app.mytalentplug.com/redirection.aspx?ojid=bdMOIKSPJ5SQujTaz1nr5g==', 'urlPostulation': 'http://app.mytalentplug.com/redirection.aspx?ojid=bdMOIKSPJ5SQujTaz1nr5g=='};;1;False;6;Employé qualifié;78.20Z;78;Activités des agences de travail temporaire;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGMX'};"[{'code': '107197', 'libelle': ""Recenser les symptômes, les dysfonctionnements, cerner l'environnement de vie du patient et procéder à l'examen clinique"", 'exigence': 'S'}, {'code': '107198', 'libelle': 'Déterminer les besoins thérapeutiques et réaliser les soins médicaux', 'exigence': 'S'}, {'code': '107199', 'libelle': ""Réaliser la prescription médicale, expliquer les modalités de traitement au patient et le conseiller sur l'hygiène de vie"", 'exigence': 'S'}, {'code': '107201', 'libelle': 'Actualiser le dossier médical du patient', 'exigence': 'S'}, {'code': '300125', 'libelle': 'Renseigner, mettre à jour une documentation technique', 'exigence': 'S'}]";;;False;;;;;;
163JGMW;AIDE A DOMICILE (H/F);"Association Prestat'Air, spécialisée dans les services à la personne, recherche pour le compte de l'un de ses clients 

un(e) Aide ménager(e) .

Votre mission ? Assurer l'entretien courant des sols et surfaces dans les pièces de vie, entretien du linge.

Planning : En fonction de vos disponibilités.

A travers ses compétences, l'aide ménager(e) a le sens du service et de la  discrétion. . Elle/il fait preuve de grandes capacités d'organisation , d'adaptation et d'autonomie. L'aide ménager(e) sait faire preuve aussi  d'empathie et d'écoute auprès de ses clients bénéficiaires

Poste urgent , à pourvoir de suite.";2023-10-16 14:17:44;2023-10-16 14:39:45;{'libelle': '27 - PITRES', 'latitude': 49.323183, 'longitude': 1.223177, 'codePostal': '27590', 'commune': '27458'};K1304;Services domestiques;Aide ménager / ménagère à domicile;{'nom': 'PRESTAT AIR   UN SOUFFLE DANS VOTRE QUO', 'entrepriseAdaptee': False};CDD;Contrat à durée déterminée - 29 Jour(s);Contrat travail;True;Débutant accepté;{'libelle': 'Horaire de 11,52 Euros sur 12 mois'};2H Travail en journée;Temps partiel;False;{};;1;False;5;Employé non qualifié;88.10A;88;Aide à domicile;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JGMW'};"[{'code': '102096', 'libelle': ""Règles d'hygiène et de propreté"", 'exigence': 'S'}, {'code': '107948', 'libelle': 'Dépoussiérer les sols, les tapis, les meubles, les objets et aérer, désodoriser les pièces', 'exigence': 'S'}, {'code': '116932', 'libelle': ""Contrôler l'état des stocks"", 'exigence': 'S'}]";;;False;;[{'libelle': 'B - Véhicule léger', 'exigence': 'S'}];;;;
